编号,位置,区,房型,所处楼层级别,总楼层数,建造年份,面积,朝向,关注数,是否有VR房源,是否近地铁,单位价格,挂牌年,挂牌月,挂牌日,总价,纬度,经度
9961,成华区荆竹东路与东荆路首创花与城一期,2,3|2,1,31,2017,87.15,5,60,1,1,17555.9,2019,7,13,153.0,30.71730383773596,104.12178298710472
9962,成华区双荆路6号,2,2|2,3,18,2013,88.91,8,20,1,1,16533.6,2019,11,13,147.0,30.716033020623282,104.10345656656507
9963,成华区双成三路18号,2,3|1,2,29,2010,82.33,5,30,1,1,31580.2,2019,9,24,260.0,30.649925442185026,104.12309380618284
9964,成华区猛追湾横街188号,2,2|1,2,53,2015,80.13,4,30,1,1,15599.7,2019,7,21,125.0,30.675789700625003,104.09996104153751
9965,成华区二环路东三段与蜀都大道的交汇处,2,3|2,2,25,-1,82.31,4,46,1,0,22111.5,2019,11,10,182.0,30.658847237179128,104.09595434923409
9966,成华区和美东路8号,2,3|1,1,33,2008,105.6,4,35,1,0,15625.0,2020,1,10,165.0,30.635773472224216,104.16146940589113
9967,-1,2,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
9968,成华区猛追湾横街188号,2,4|2,1,11,2014,273.41,5,28,1,1,28528.6,2019,12,14,780.0,30.675789700625003,104.09996104153751
9969,成华区西林路199号,2,2|2,3,22,2009,83.94,3,23,1,1,13700.3,2019,10,7,115.0,30.705753232140946,104.10837244914637
9970,成华区一环路东三段2号,2,2|1,3,6,1998,59.05,5,30,1,1,11854.4,2019,7,23,70.0,30.64080655562887,104.05858469000198
9971,成华区建业路30号,2,2|1,2,33,2010,64.33,5,16,1,0,19431.1,2019,3,9,125.0,30.675196870883532,104.12062899959234
9972,成华区和美东路8号,2,2|1,1,33,2008,56.02,4,22,1,0,16958.2,2020,1,17,95.0,30.635773472224216,104.16146940589113
9973,成华区云龙南路66号,2,2|1,1,21,2014,82.65,5,3,1,0,16938.9,2018,8,11,140.0,30.706282489509764,104.11525140774164
9974,成华区和美东路8号,2,2|2,3,33,2008,78.81,4,63,1,0,16876.0,2019,6,20,133.0,30.635773472224216,104.16146940589113
9975,成华区五桂路6号,2,1|1,1,32,2012,45.78,5,41,1,1,15290.5,2019,8,29,70.0,30.643438079702555,104.13659478733652
9976,成华区荆竹坝东街333号,2,3|1,3,18,2010,83.86,5,21,1,1,14989.3,2019,6,16,125.7,30.717707828761203,104.10317198337951
9977,成华区龙潭寺西路107号,2,3|2,1,18,-1,89.7,3,52,1,0,12820.5,2019,2,21,115.0,30.70686322079205,104.16957284562537
9978,高新区天府大道中段1388号,9,3|1,1,31,2012,86.65,1,87,1,1,23081.4,2019,12,2,200.0,30.746126110373726,103.93541378871336
9979,高新区府城大道中段188号,9,4|2,2,20,2013,178.84,8,10,1,1,26168.6,2019,12,2,468.0,30.746126110373726,103.93541378871336
